"id","prefLabel","displayLabel","definition","status","altLabel","labelTypes","notes","noteTypes","examples","collections","schemes","paths","tags"
"vmc:c-00000E","Storyboard","artwork.storyboard","A series of images that forms a visual representation of some part of the narrative.","published","storyboard","omcToken","","","","coll:omc-0002B","","artwork.storyboard",""
"vmc:c-00004A","Structured Document","digital.structuredDocument | physical.structuredDocument","A Document structured according to a set of rules which are used to parse or understand the document.","published","structuredDocument","omcToken","","","","coll:omc-00033","","digital.structuredDocument | physical.structuredDocument",""
"vmc:c-000418","Stunt","stunt","Physical action described or implied in the narrative that would put an actor in some kind of danger and so requires a specialist to manage and coordinate. ","published","stunt","omcToken","","","","coll:omc-00115","","stunt",""
"vmc:c-000438","Supplemental","supplemental","Material created to support some other work, such as a trailer, featurette, deleted scenes, gag reel, interviews, behind-the-scenes, etc.","published","supplemental","omcToken","","","","coll:omc-00200","","supplemental",""
"omc:0017F","teapot","teapot","","published","teapot","omcToken","","","","coll:omc-00175","","teapot",""
"omc:00288","TECH","TECH","Technical: audio content information.","published","TECH","omcToken","","","","coll:omc-002AD","","TECH",""
"vmc:c-000011","Technical Reference Material","technicalReferenceMaterial","Images, documents, data, or other material created as part of the execution of the production.","published","technicalReferenceMaterial","omcToken","","","","coll:omc-0002B","","technicalReferenceMaterial",""
"omc:00261","temporaryMix","temporaryMix","A non-final Mix used in the creative process, e.g. for review.","published","temporaryMix","omcToken","","","","coll:omc-0025E","","temporaryMix",""
"omc:001B3","textile","textile","","published","textile","omcToken","","","","coll:omc-001B1","","textile",""
"omc:00142","they/their","they/their","","published","they/their","omcToken","","","","coll:omc-00138","","they/their",""
"omc:0006F","timeline","timeline","","published","timeline","omcToken","","","","coll:omc-0002B","","timeline",""
"omc:00180","torus","torus","","published","torus","omcToken","","","","coll:omc-00175","","torus",""
"omc:002AB","Ts","Ts","Top Surround channel","published","Ts","omcToken","","","","coll:omc-0025B","","Ts",""
"vmc:c-00043b","TV","tv","Content that first appeared via broadcast (terrestrial, satellite, cable, etc.). This includes telefilms, other one-off programs, and Episodes of television series.  ","published","tv","omcToken","","","","coll:omc-00200","","tv",""
"omc:0013E","unknown","unknown","","published","unknown","omcToken","","","","coll:omc-0013A","","unknown",""
"omc:001A2","uvMap","uvMap","","published","uvMap","omcToken","","","","coll:omc-00198","","uvMap",""
"vmc:c-000359","VFX Image Sequence","sequence.vfxImage","An Image Sequence used in VFX work.","published","vfxImage","omcToken","","","","coll:omc-000FA","","sequence.vfxImage",""
"vmc:c-00002F","VFX Sequence","sequence.vfx","A unit of work made up of an ordered series of VFX shots.","published","vfx","omcToken","May not be a continuous narrative","editorial","","coll:omc-000FA","","sequence.vfx",""
"vmc:c-00002E","VFX Shot","shot.vfx","A Shot that has been identified as requiring VFX work.","published","vfx","omcToken","","","","coll:omc-0002B","","shot.vfx",""
"omc:0027C","VI","VI","Visually Impaired audio channel","published","VI","omcToken","","","","coll:omc-002AC","","VI",""
"omc:0029F","VIN","VIN","Visually Impaired channel","published","VIN","omcToken","","","","coll:omc-0025B","","VIN",""
"vmc:c-00036F","Visual Effect","visualEffect","Effects created on or in the footage after it is captured.","published","visualEffect","omcToken","Has Participant Structural Class of Organization","editorial","","coll:omc-00117","","visualEffect",""
"omc:0027B","VO","VO","Voice Over audio channel","published","VO","omcToken","","","","coll:omc-002AC","","VO",""
"omc:00284","VOC","VOC","Vocal audio channel","published","VOC","omcToken","","","","coll:omc-002AC","","VOC",""
"omc:001AC","volumeShadow","volumeShadow","","published","volumeShadow","omcToken","","","","coll:omc-00199","","volumeShadow",""
"omc:001A9","volumeTexture","volumeTexture","","published","volumeTexture","omcToken","","","","coll:omc-00199","","volumeTexture",""
"omc:001B8","water","gasOrLiquid.water","","published","water","omcToken","","","","coll:omc-001B1","","gasOrLiquid.water",""
"omc:001A5","weightMap","weightMap","","published","weightMap","omcToken","","","","coll:omc-00198","","weightMap",""
"omc:00036","witnessCamera","capture.witnessCamera","A video capture not intended for the creative work, but as a record of related action, typically on-set.","published","witnessCamera","omcToken","","","","coll:omc-0002B","","capture.witnessCamera",""
"omc:00282","WLA","WLA","Walla audio channel","published","WLA","omcToken","","","","coll:omc-002AC","","WLA",""
"omc:001C8","wood","organic.wood","","published","wood","omcToken","","","","coll:omc-001B1","","organic.wood",""
"omc:001BF","wool","textile.wool","","published","wool","omcToken","","","","coll:omc-001B1","","textile.wool",""
"omc:0021E","working","working","Working title, used during the course of production.","published","working","omcToken","","","","coll:omc-0021B","","working",""
"omc:00289","WRT","WRT","Writer: audio content information.","published","WRT","omcToken","","","","coll:omc-002AD","","WRT",""
"omc:0018A","y-up","y-up","The Y coordinate is the elevation axis.","published","y-up","omcToken","","","","coll:omc-00186","","y-up",""
"omc:0018B","z-up","z-up","The Z coordinate is the elevation axis.","published","z-up","omcToken","","","","coll:omc-00186","","z-up",""
"omc:00141","ze/hir","ze/hir","","published","ze/hir","omcToken","","","","coll:omc-00138","","ze/hir",""
